Country,Air pollution,Dwellings without basic facilities,Educational attainment,Employees working very long hours,Employment rate,Feeling safe walking alone at night,Homicide rate,Household net adjusted disposable income,Household net wealth,Housing expenditure,Labour market insecurity,Life expectancy,Life satisfaction,Long-term unemployment rate,Personal earnings,Quality of support network,Rooms per person,Self-reported health,Stakeholder engagement for developing regulations,Student skills,Time devoted to leisure and personal care,Voter turnout,Water quality,Years in education
OECD - Total,14.0,4.4,78.0,11.01,68.0,68.4,3.7,33604.0,408376.0,20.0,7.0,80.2,6.5,1.78,43241.0,89.0,1.8,69.0,2.4,486.0,14.98,68.0,81.0,17.2
Poland,22.0,3.0,92.0,5.95,66.0,67.3,0.7,19814.0,210991.0,22.0,5.7,78.0,6.1,1.52,27046.0,86.0,1.1,58.0,2.6,504.0,14.42,55.0,82.0,17.6
Portugal,10.0,1.0,48.0,8.27,68.0,73.4,1.0,21203.0,232666.0,21.0,10.0,81.2,5.4,4.43,25367.0,88.0,1.7,48.0,1.5,497.0,,56.0,86.0,16.9
Russia,15.0,14.8,94.0,0.14,70.0,52.8,9.6,,,18.0,,71.8,5.8,1.59,,89.0,0.9,43.0,,492.0,,68.0,55.0,16.2
Slovak Republic,21.0,1.2,91.0,4.14,66.0,63.5,0.8,20474.0,119696.0,23.0,9.9,77.3,6.2,4.78,24328.0,91.0,1.1,66.0,3.0,463.0,,60.0,85.0,15.8
Slovenia,16.0,0.4,88.0,4.39,69.0,86.1,0.6,20820.0,203044.0,18.0,5.8,81.3,5.9,3.17,34933.0,92.0,1.5,64.0,2.5,509.0,14.75,53.0,90.0,18.3
South Africa,22.0,37.0,73.0,18.12,43.0,36.1,13.7,,,18.0,,57.5,4.7,16.46,,88.0,,,,,14.92,73.0,67.0,
Spain,11.0,0.1,59.0,4.01,62.0,82.1,0.6,23999.0,373548.0,21.0,23.1,83.4,6.3,7.66,38507.0,93.0,1.9,72.0,1.8,491.0,15.93,70.0,72.0,17.9
Sweden,6.0,0.0,83.0,1.07,77.0,75.6,0.9,31287.0,,19.0,3.2,82.4,7.3,1.12,42393.0,91.0,1.7,75.0,2.0,496.0,15.18,86.0,96.0,19.3
Switzerland,15.0,0.1,88.0,0.37,80.0,85.3,0.6,37466.0,,22.0,,83.7,7.5,1.82,62283.0,93.0,1.9,78.0,2.3,506.0,,49.0,95.0,17.5
Turkey,20.0,8.0,39.0,32.64,52.0,59.8,1.4,,,20.0,12.5,78.0,5.5,2.39,,86.0,1.0,69.0,1.5,425.0,14.79,86.0,65.0,18.3
United Kingdom,11.0,0.3,81.0,12.15,75.0,77.7,0.2,28715.0,548392.0,26.0,4.5,81.2,6.8,1.13,43732.0,94.0,1.9,69.0,3.1,500.0,14.92,69.0,84.0,17.5
United States,10.0,0.1,91.0,11.09,70.0,73.9,5.5,45284.0,632100.0,19.0,7.7,78.6,6.9,0.66,60558.0,91.0,2.4,88.0,3.1,488.0,14.44,65.0,83.0,17.2
